---Source_IP---|---Destination_IP---|---Source_port---|---Destination_port---|---Protocol---|---Payload---

 13.107.5.93,  192.168.170.202  ,      443      ,         53165         ,     TCP     ,    b''
 13.107.5.93,  192.168.170.202  ,      443      ,         53165         ,     TCP     ,    b''
 192.168.170.202,  13.107.5.93  ,      53165      ,         443         ,     TCP     ,    b''
 13.107.5.93,  192.168.170.202  ,      443      ,         53164         ,     TCP     ,    b''
 13.107.5.93,  192.168.170.202  ,      443      ,         53164         ,     TCP     ,    b''
 192.168.170.202,  13.107.5.93  ,      53164      ,         443         ,     TCP     ,    b''
 20.189.173.14,  192.168.170.202  ,      443      ,         53175         ,     TCP     ,    b''
 20.189.173.14,  192.168.170.202  ,      443      ,         53176         ,     TCP     ,    b''
 192.168.170.202,  192.168.170.144  ,      55300      ,         53         ,     UDP     ,    b''
 192.168.170.144,  192.168.170.202  ,      53      ,         55300         ,     UDP     ,    b''
 192.168.170.202,  20.189.173.14  ,      53181      ,         443         ,     TCP     ,    b''
 20.189.173.14,  192.168.170.202  ,      443      ,         53181         ,     TCP     ,    b''
 20.189.173.14,  192.168.170.202  ,      443      ,         53179         ,     TCP     ,    b''
 20.189.173.14,  192.168.170.202  ,      443      ,         53181         ,     TCP     ,    b''
 20.189.173.14,  192.168.170.202  ,      443      ,         53181         ,     TCP     ,    b''
 192.168.170.202,  192.168.170.144  ,      52746      ,         53         ,     UDP     ,    b''
 192.168.170.202,  192.168.170.144  ,      55300      ,         53         ,     UDP     ,    b''
